original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,flagged,catalogue_year
"Maimonides on Ethics (Shemonah Perakim) : eight chapters: a psychological and ethical treatise. Edit., annotated, and trans., with an intro., by Joseph I. Gorfinkle. Ryl. 8vo., pp. 172 8s. 6d. net ..FROWDE, Dec. 12",190,200,,,"Maimonides on Ethics (Shemonah Perakim) : eight chapters: a psychological and ethical treatise. Edit., annotated, and trans., with an intro., by Joseph I. Gorfinkle.",Ryl. 8vo.,pp. 172 8s. 6d. net ..,FROWDE,Dec. 12,False,1912
"Main waring (Arthur)—The Whist-drive manual. 12mo., 6° X4, pp. 48, is. ROUTLEDGE, June 12",190,200,,Main waring (Arthur),The Whist-drive manual.,12mo.,"6° X4, pp. 48, is.",ROUTLEDGE,June 12,False,1912
"Maisie Daisie book (The). 4to., IS. NELSON, Sep. 12",190,200,,,Maisie Daisie book (The).,4to.,IS.,NELSON,Sep. 12,False,1912
"Maistre (Xavier de)-Euvres complètes. 12mo., pp. 212, Is. net ..DENT, Feb. 12",190,200,,Maistre (Xavier de),Œuvres complètes.,12mo.,"pp. 212, Is. net",DENT,Feb. 12,False,1912
"Maitland (Agnes C.)—The Afternoon tea book. 4th edit. Cr. 8vo., pp. 134, Is. net J. HOGG, Mar. 12",190,200,,Maitland (Agnes C.),The Afternoon tea book. 4th edit.,Cr. 8vo.,"pp. 134, Is. net",J. HOGG,Mar. 12,False,1912
"Maitland (Agnes C.)—What shall we have for breakfast ? 3rd edit., rev. and enlarged by Helen Edden. Cr. 8vo., pp. 108, is, net J. HOGG, June 12",190,200,,Maitland (Agnes C.),"What shall we have for breakfast ? 3rd edit., rev. and enlarged by Helen Edden.",Cr. 8vo.,"pp. 108, is, net",J. HOGG,June 12,False,1912
"Major (Charles)—Dorothy Vernon of Haddon Hall. 12mo., 7d. net ..MACMILLAN, Jan. 12",190,200,,Major (Charles),Dorothy Vernon of Haddon Hall.,12mo.,7d. net ..,MACMILLAN,Jan. 12,False,1912
"Major (Charles) — The Touchstone of fortune. Cr. 8vo. 71 X5, pp. 308, 63. MACMILLAN, May 12",190,200,,Major (Charles),The Touchstone of fortune.,Cr. 8vo.,"71 X5, pp. 308, 63.",MACMILLAN,May 12,False,1912
"Major (Henry D. A.)—The Gospel of freedom Cr. 8vo. 71 X5, pp. 224, 28. 6d. net UNWIN, Aug. 12",190,200,,Major (Henry D. A.),The Gospel of freedom,Cr. 8vo.,"71 X5, pp. 224, 28. 6d. net",UNWIN,Aug. 12,False,1912
"Magnay (Sir William)-The Amazing Duke. 8vo., swd., 6d. ..W. COLLINS, J une 12",190,200,,Magnay (Sir William),The Amazing Duke.,"8vo.,","swd., 6d. ..",COLLINS,June 12,False,1912
