original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,flagged,catalogue_year
"Addams (Jane)-A New conscience and an ancient evil. New ed. Cr. 8vo. 7} X 4), pp. 232, 28. net MACMILLAN, Aug. 15",3,11,,Addams (Jane),A New conscience and an ancient evil. New ed.,Cr. 8vo.,"7} X 4), pp. 232, 28. net",MACMILLAN,Aug. 15,False,1915
"Addison (Joseph)-Essays. Chosen and edited with a preface and a few notes by Sir James George Frazer. 2 vols. Cr. 8vo. 77 X48, pp. 454, 490, 8s. net (Eversley series) MACMILLAN, Feb. 15",3,11,,Addison (Joseph),Essays. Chosen and edited with a preface and a few notes by Sir James George Frazer. 2 vols.,Cr. 8vo.,"77 X48, pp. 454, 490, 8s. net (Eversley series)",MACMILLAN,Feb. 15,False,1915
"Addison (Joseph)-Miscellaneous works. Ed. by A. E. Guthkelch. Vol. 2. 8vo., 78. 6d. net BELL, Oct. 15",3,11,,Addison (Joseph),Miscellaneous works. Ed. by A. E. Guthkelch. Vol. 2.,8vo.,78. 6d. net,BELL,Oct. 15,False,1915
"Adeney (Walter F.)- Faith to-day. 18mo. 61 x 41, pp. 94, is. net. ...CLARKE, Dec. 15",3,11,,Adeney (Walter F.),Faith to-day.,18mo.,"61 x 41, pp. 94, is. net. ...",CLARKE,Dec. 15,False,1915
"Adkins (Frank J.)—The War : its origins and warnings. Cr. 8vo. 7} X41, pp. 228, 2s. 6d. net ALLEN & UNWIN, Jan. 15",3,11,,Adkins (Frank J.),The War : its origins and warnings.,Cr. 8vo.,"7} X41, pp. 228, 2s. 6d. net",ALLEN & UNWIN,Jan. 15,False,1915
"Adler (Elizabeth) —The Crochet lace book : a series of twenty-six novel, effective and easy designs. 4to., pp. 52, swd. is. net BAZAAR OFFICE, Oct. 15",3,11,,Adler (Elizabeth),"The Crochet lace book : a series of twenty-six novel, effective and easy designs.",4to.,"pp. 52, swd. is. net",BAZAAR OFFICE,Oct. 15,False,1915
"Admiralty-Compass on land (The Magnetic). With protractor, 25. 6d. ; without protractor, 6d. .WYMAN, May 15",3,11,,,Admiralty-Compass on land (The Magnetic).,,"With protractor, 25. 6d. ; without protractor, 6d. .",WYMAN,May 15,False,1915
"IS. 6u. WYMAN, July 15",3,11,IS. 6u.,,,,,WYMAN,July 15,False,1915
"Admiralty-Gunnery: Result of test of gun- layers with heavy guns and light Q.F. guns in H.M. Fleet, 1914. 4d. WYMAN, June 15",3,11,,,"Admiralty-Gunnery: Result of test of gun- layers with heavy guns and light Q.F. guns in H.M. Fleet, 1914.",,4d.,WYMAN,June 15,False,1915
"Admiralty-Hydrographic. The Supplements noted here are gratis to purchasers of the various Pilots : Admiralty-Hydrographic. Africa Pilot. Pt. 3, South and East Coasts of Africa from the Cape of Good Hope to Ras Hafún 8th ed., 1915. 58. POTTER, Oct. 15",3,11,,,"Admiralty-Hydrographic. The Supplements noted here are gratis to purchasers of the various Pilots : Admiralty-Hydrographic. Africa Pilot. Pt. 3, South and East Coasts of Africa from the Cape of Good Hope to Ras Hafún 8th ed., 1915.",,58.,POTTER,Oct. 15,False,1915
"Admiralty-Hydrographic. Alaska and Bering Sea pilot, 1908. Rev. supp. (3) POTTER, Nov. 15",3,11,,,"Admiralty-Hydrographic. Alaska and Bering Sea pilot, 1908. Rev. supp. (3)",,,POTTER,Nov. 15,False,1915
"Admiralty-Hydrographic. Arctic pilot. Vol. 1, 1907. Rev. supp. (2), 1915..POTTER, Aug. 15",3,11,,,"Admiralty-Hydrographic. Arctic pilot. Vol. 1, 1907. Rev. supp. (2), 1915.",,,POTTER,Aug. 15,False,1915
"Admiralty-Hydrographic. Australia pilot. Vol. 5, North, North-West and West Coasts between the Western Approach to Torres Strait and Cape Leeuwin. Ist ed. 35...J. D. POTTER, Jan. 15",3,11,,,"Admiralty-Hydrographic. Australia pilot. Vol. 5, North, North-West and West Coasts between the Western Approach to Torres Strait and Cape Leeuwin. Ist ed.",,35...,J. D. POTTER,Jan. 15,False,1915
"Admiralty-Hydrographic. Charts, plans, and sailing directions : Geographical catalogue. Dec. 31, 1914, Gratis ...POTTER, May 15",3,11,,,"Admiralty-Hydrographic. Charts, plans, and sailing directions : Geographical catalogue.",,"Dec. 31, 1914, Gratis ...",POTTER,May 15,False,1915
"Admiralty-Hydrographic. China Sea Pilot. Vol. 2, Directions for the approaches to Singa- pore and the China Sea, from the Indian Ocean, by Sunda, Banka, Gaspar, Carimata, Rhio, Berhala, and Durian Straits, ist ed., 1915, 35. ; ditto, Vol. 5, Supp., 1915......POTTER, Oct. 15",3,11,,,"Admiralty-Hydrographic. China Sea Pilot. Vol. 2, Directions for the approaches to Singa- pore and the China Sea, from the Indian Ocean, by Sunda, Banka, Gaspar, Carimata, Rhio, Berhala, and Durian Straits, ist ed., 1915, 35. ; ditto, Vol. 5, Supp., 1915......",,,POTTER,Oct. 15,False,1915
"Admiralty-Hydrographic. China Sea pilot. Vol. 4, 1912. Supp. 1915 .POTTER, Mar. 15",3,11,,,"Admiralty-Hydrographic. China Sea pilot. Vol. 4, 1912. Supp. 1915",,,POTTER,Mar. 15,False,1915
"Admiralty-Hydrographic. Distance tables. Vol. 1, North and West Coasts of Europe from White Sea to the Straits of Gibraltar, incl. the British Islands, Iceland, Faeroes, and the Baltic. 2nd ed., Is. 6d. ...POTTER, Nov. 15",3,11,,,"Admiralty-Hydrographic. Distance tables. Vol. 1, North and West Coasts of Europe from White Sea to the Straits of Gibraltar, incl. the British Islands, Iceland, Faeroes, and the Baltic. 2nd ed.",,Is. 6d. ...,POTTER,Nov. 15,False,1915
