,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
6439,"Cr. Svo., pp. 136, is, net.... .. JARROLD, Sep. 13",,,,JARROLD,,,"Cr. Svo., pp. 136, is, net.... .. JARROLD, Sep. 13",,,,Sep. 13,1913,
6443,"WYMAY, Apr. 13",,,,WYMAY,,,"WYMAY, Apr. 13",,,,Apr. 13,1913,
6445,"K. PAUL, Feb. 13",,,,K. PAUL,,,"K. PAUL, Feb. 13",,,,Feb. 13,1913,
6446,"K. PAUL, Jan. 13",,,,K. PAUL,,,"K. PAUL, Jan. 13",,,,Jan. 13,1913,
6448,"Milky way, Jesse (F. T.) 6s. Mignet (F. A. M.)--History of the French revolu- tion fron: 1789 to 1814. 12mo., pp. 484, s. net Mill (Hugh Robert)-The Realm of nature : (Bohn's top. lib.) . BELL, Oct. 13","Milky way, Jesse",F. T.,,BELL,,12mo.,"Milky way, Jesse (F. T.) 6s. Mignet (F. A. M.)--History of the French revolu- tion fron: 1789 to 1814. 12mo., pp. 484, IS. net Mill (Hugh Robert)-The Realm of nature : (Bohn's top. lib.) . BELL, Oct. 13","F. T. Milky way, Jesse","['Milky way, Jesse (F. T.)']",,Oct. 13,1913,
6451,"1912. Illus. Ryl. 8vo. 10 X7, pp. 414, 18s. net Millais (J. G.)-British diving ducks. (In 2 vols.) HEINEMANN, Jan. 13",,,,HEINEMANN,,8vo.,"1912. Illus. Ryl. 8vo. 10 X7, pp. 414, 18s. net Millais (J. G.)-British diving ducks. (In 2 vols.) HEINEMANN, Jan. 13",,,,Jan. 13,1913,
6452,"LONGMANS, Mar. 13",,,,LONGMANS,,,"LONGMANS, Mar. 13",,,,Mar. 13,1913,
6454,"IS., 2s. Νου. 13",,,,IS.,,,"IS., 25. Νου. 13",,,,2s. Νου. 13,1913,
6464,"Milton's astronomy, Orchard (T. N.) 7s. 6d. net Milton (W. A.)— Principles of educational wood- work. 8vo. 81X61, pp. 366, 6s. (Manual training) . BLACKIE, Sep. 13","Milton's astronomy, Orchard",T. N.,,BLACKIE,6s.,8vo.,"Milton's astronomy, Orchard (T. N.) 7s. 6d. net Milton (W. A.)— Principles of educational wood- work. 8vo. 81X61, pp. 366, 6s. (Manual training) . BLACKIE, Sep. 13","T. N. Milton's astronomy, Orchard","[""Milton's astronomy, Orchard (T. N.)""]",,Sep. 13,1913,
6498,"Minna, Gjellerup (K.) 6s.. Minnion (W. J.)-Topsy turvey: being shreds and patches of a Christmas dream. With music by Mrs. W. J. Minnion. Illus. by Chas. Robinson. 4!0. 101X 8, pp. 9), 5s. net “ CONNOISSEUR, Dec. 13","Minna, Gjellerup",K.,,CONNOISSEUR,,,"Minna, Gjellerup (K.) 65.. Minnion (W. J.)-Topsy turvey: being shreds and patches of a Christmas dream. With music by Mrs. W. J. Minnion. Illus. by Chas. Robinson. 4!0. 101X 8, pp. 9), 5s. net “ CONNOISSEUR, Dec. 13","K. Minna, Gjellerup","['Minna, Gjellerup (K.)']",,Dec. 13,1913,
6551,"Monologues, Middleton (R.) 5s. net........ Monroe (Paul) ed.-A Cyclopedia of education. Vol. 4. 4to. 11 X73, pp. 754, 2 is. net MACMILLAN, Apr. 13","Monologues, Middleton",R.,,MACMILLAN,,4to.,"Monologues, Middleton (R.) 55. net........ Monroe (Paul) ed.-A Cyclopedia of education. Vol. 4. 4to. 11 X73, pp. 754, 2 is. net MACMILLAN, Apr. 13","R. Monologues, Middleton","['Monologues, Middleton (R.)']",,Apr. 13,1913,
6611,"58. net MOORE'S Moore's Almanac, 1914. Cr. 8vo., swd. 6d. CASSELL, Sep. 13",,,,CASSELL,6d.,8vo.,"58. net MOORE'S Moore's Almanac, 1914. Cr. 8vo., swd. 6d. CASSELL, Sep. 13",,,,Sep. 13,1913,
6694,"Motion-picture work, Hulfish (D. S.) 17s. net Motley (John Lothrop)—The Rise of the Dutch Republic. 3 vols. 12mo., pp. 568, 566, 568, ea. is. net (Bohn's Standard library) BELL, A pr. 13","Motion-picture work, Hulfish",D. S.,,BELL,,12mo.,"Motion-picture work, Hulfish (D. S.) 175. net Motley (John Lothrop)—The Rise of the Dutch Republic. 3 vols. 12mo., pp. 568, 566, 568, ea. is. net (Bohn's Standard library) BELL, A pr. 13","D. S. Motion-picture work, Hulfish","['Motion-picture work, Hulfish (D. S.)']",,A pr. 13,1913,
6712,"Moulton (James Hope)-Early Zoroastrianism. (Hibbert lectures, and ser.) 8vo. 84 X5 , pp. 488, ios, 6d. net . WILLIAMS & N., Dec. 13",,,,WILLIAMS & N.,6d.,,"Moulton (James Hope)-Early Zoroastrianism. (Hibbert lectures, and ser.) 8vo. 84 X5 , pp. 488, ios, 6d. net . WILLIAMS & N., Dec. 13",,"['Moulton (James Hope)-Early Zoroastrianism. (Hibbert lectures,)', '-Early Zoroastrianism. (ser.)']",,Dec. 13,1913,net
6736,"Munro (James)-Canada (1535-present-day). Cr. Evo., pp. 128, 1s. net. (English history source books) ..BELL, June 13",,,,BELL,,,"Munro (James)-Canada (1535-present-day). Cr. Evo., pp. 128, Is. net. (English history source books) ..BELL, June 13",,['Munro (James)-Canada (1535-present-day)'],,June 13,1913,
