entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
"Apuleius—The Metamorphoses ; or, Golden Ass, Trans. by H. E. Butler. 2 vols. Cr. 8vo. 71 X 4, pp. 190, 172, ea. 3s. 6d. net (Clarendon Press) FROWDE, Jan. 10",,,"Apuleius—The Metamorphoses ; or, Golden Ass, Trans",FROWDE,3s. 6d.,0.175,8vo.,"Apuleius—The Metamorphoses ; or, Golden Ass, Trans. by H. E. Butler. 2 vols. Cr. 8vo. 71 X 4, pp. 190, 172, ea. 35. 6d. net (Clarendon Press) FROWDE, Jan. 10",,,,Jan. 10,net
"Apuleius-The Story of Cupiil and Psyche. Edit. by L. C. Purser. 8vo. 7s. 6d. net BELL, Mar. 10",,,Apuleius-The Story of Cupiil and Psyche,BELL,7s. 6d.,0.375,8vo.,"Apuleius-The Story of Cupiil and Psyche. Edit. by L. C. Purser. 8vo. 75. 6d. net BELL, Mar. 10",,,,Mar. 10,net
"Arabian Nights (The). Selections from. Illus. by Gilbert James. 8vo. 64 X5, pp. 64, is, net (Langham Ser. for Children, No. 3) SIEGLE, H., Aug. 10",,,Arabian Nights (The),"SIEGLE, H.",,0.0,8vo.,"Arabian Nights (The). Selections from. Illus. by Gilbert James. 8vo. 64 X5, pp. 64, is, net (Langham Ser. for Children, No. 3) SIEGLE, H., Aug. 10",,,,Aug. 10,
"Arabic History of Gujarat (An), by 'Abdallah Muhammad Bin Omar Al-Makki, Al-Asafi, Ulughkhání. Edit. by E. D. Ross. Vol. I, Text. 8vo. 12s, net MURRAY, Mar. 10",,,"Arabic History of Gujarat (An), by 'Abdallah Muhammad Bin Omar Al-Makki, Al-Asafi, Ulughkhání",MURRAY,12s.,0.6,8vo.,"Arabic History of Gujarat (An), by 'Abdallah Muhammad Bin Omar Al-Makki, Al-Asafi, Ulughkhání. Edit. by E. D. Ross. Vol. I, Text. 8vo. I2s, net MURRAY, Mar. 10",,,,Mar. 10,net
"Archæological Report, 1908-1909. Edited by F. LI. Griffiths. 4to. 2s. 6d. net FROWDE, Feb. 10",,,Archæological Report,FROWDE,2s. 6d.,0.125,4to.,"Archæological Report, 1908-1909. Edited by F. LI. Griffiths. 4to. 2s. 6d. net FROWDE, Feb. 10",,,,Feb. 10,net
"Archbold's Pleading, Evidence, and Practice in Criminal Cases, by W. F. Craies and H. D. Roome. 24th edit. 8vo. 35s. SWEET & M., Oct. 10",,,"Archbold's Pleading, Evidence, and Practice in Criminal Cases, by W. F. Craies and H. D. Roome",SWEET & M.,35s.,1.75,8vo.,"Archbold's Pleading, Evidence, and Practice in Criminal Cases, by W. F. Craies and H. D. Roome. 24th edit. 8vo. 355. SWEET & M., Oct. 10",,,,Oct. 10,
"Argentine Republic, Ponce de Leon, 12s. 6d. net May 1o Argyll (Duke of) ed.-Intimate Society Letters of the Eighteenth Century. 2 vols. 8vo. 9x5), pp. 718, 24s. net....S. PAUL, July 10",,,"Argentine Republic, Ponce de Leon",S. PAUL,24s.,1.2,8vo.,"Argentine Republic, Ponce de Leon, 125. 6d. net May 1o Argyll (Duke of) ed.-Intimate Society Letters of the Eighteenth Century. 2 vols. 8vo. 9x5), pp. 718, 24s. net....S. PAUL, July 10",,,,July 10,net
"Aristophanes --Acliarnians, Greek Text, rev. with a trans., &c., by B. B. Rogers. 4to. Ios. 6d. BELL, Jan. 10",,,"Aristophanes --Acliarnians, Greek Text, rev",BELL,6d.,0.025,4to.,"Aristophanes --Acliarnians, Greek Text, rev. with a trans., &c., by B. B. Rogers. 4to. Ios. 6d. BELL, Jan. 10",,,,Jan. 10,
"Aristophanes.—Comedies. 1dit., Trans, and Explained by B. B. Rogers. Vol. 1. Imp. 16nio. 15s. . BELL, June 10",,,Aristophanes,BELL,15s.,0.75,,"Aristophanes.—Comedies. Idit., Trans, and Explained by B. B. Rogers. Vol. 1. Imp. 16nio. 155. . BELL, June 10",,,,June 10,
"Aristophanes.—The Knights. The Greek Text revised with a trans., by B. B. Rogers. Imp. 16mo., Ios. 60... .BELL, June 10",,,Aristophanes,BELL,,0.0,16mo.,"Aristophanes.—The Knights. The Greek Text revised with a trans., by B. B. Rogers. Imp. 16mo., Ios. 60... .BELL, June 10",,,,June 10,
"ARMY . . . . . . Aristotle-De Mirabilibus Auscultionibus. Trans. into English by L. D. Dowdall. 8vo. swd. 2s. net.... . (Clarendon Press) FROWDE, Jan. 10",,,ARMY ,FROWDE,,0.0,8vo.,"ARMY . . . . . . Aristotle-De Mirabilibus Auscultionibus. Trans. into English by L. D. Dowdall. 8vo. swd. 25. net.... . (Clarendon Press) FROWDE, Jan. 10",,,,Jan. 10,
"Aristotle Nicomachean Ethics. Trans. by D. P. Chase. Cr. 8vo. 28. 6d. net (Books that Marked Epochs) ROUTLEDGE, Apr.10",,,Aristotle Nicomachean Ethics,ROUTLEDGE,6d.,0.025,8vo.,"Aristotle Nicomachean Ethics. Trans. by D. P. Chase. Cr. 8vo. 28. 6d. net (Books that Marked Epochs) ROUTLEDGE, Apr.10",,,,Apr.10,net
